 transaction_id,timestamp,customer_id,product_category,sales_amount,payment_method
T001,10/01/26,C101,Electronics,1250,Credit
T002,11/01/26,C105,Home,450.5,Debit
T003,12/01/26,C112,Apparel,,Credit
T004,13/01/26,C108,Electronics,890,PayPal
T005,14/01/26,C115,Beauty,55,Cash
T006,15/01/26,C102,Home,120,Credit
T007,16/01/26,C120,Electronics,45000,Debit
T008,17/01/26,C109,Apparel,75.25,Credit
T009,18/01/26,C111,Beauty,30,PayPal
T010,19/01/26,C104,Electronics,320,Debit
T011,20/01/26,C106,Home,210,Credit
T012,21/01/26,C118,Apparel,55,Cash
T013,22/01/26,C103,Electronics,950,Credit
T014,23/01/26,C125,Beauty,,Debit
T015,24/01/26,C110,Home,340,PayPal
T016,25/01/26,C114,Apparel,45,Credit
T017,26/01/26,C107,Electronics,1100,Credit
T018,27/01/26,C119,Beauty,85,Debit
T019,28/01/26,C122,Home,275,Credit
T020,29/01/26,C101,Apparel,60,Cash
T021,30/01/26,C113,Electronics,720,PayPal
T022,31/01/26,C116,Beauty,45,Credit
T023,01/02/26,C124,Home,190,Debit
T024,02/02/26,C108,Apparel,35,Credit
T025,03/02/26,C102,Electronics,850,Credit
T026,04/02/26,C117,Beauty,,PayPal
T027,05/02/26,C121,Home,500,Credit
T028,06/02/26,C103,Apparel,120,Debit
T029,07/02/26,C110,Electronics,400,Credit
T030,08/02/26,C123,Beauty,25,Cash
T031,09/02/26,C115,Home,310,Credit
T032,10/02/26,C104,Apparel,95,PayPal
T033,11/02/26,C106,Electronics,680,Credit
T034,01/05/26,C112,Beauty,110,Debit
T035,02/05/26,C126,Home,420,Credit
T036,05/02/26,C109,Apparel,55,Cash
T037,02/05/26,C118,Electronics,1500,Credit
T038,02/05/26,C125,Beauty,40,Debit
T039,05/03/26,C114,Home,220,Credit
T040,03/05/26,C124,Electronics,990,PayPal
